,,X11BR047,X11BR043,X11BR049,X11BR023,X18BR010,X06BR003,X11BR074,X18BR017,X01BR017,X06BR006,X09BR005,X11BR017,X01BR015,X11BR025,X01BR001,X11BR031,X01BR032,X05BR045,X11BR053,X01BR027,X14BR008,X18BR002,X03BR013,X11BR032,X21BR010,X03BR004,X11BR003,X11BR028,X18BR004,X20BR005,X11BR073,X11BR009,X18BR019,X20BR001,X09BR007,X11BR020,X20BR002,X11BR019,X20BR008,X01BR033,X11BR022,X11BR013,X03BR010,X20BR007,X11BR030,X18BR007,X11BR050,X05BR001,X11BR014,X22BR005,X11BR010,X01BR031,X11BR011,X03BR005,X18BR003,X11BR024,X05BR016,X01BR030,X01BR018,X05BR042,X11BR054,X05BR044,X11BR006,X14BR005,X11BR044,X11BR016,X11BR055,X06BR005,X11BR042,X11BR018,X05BR009,X01BR025,X11BR015,X11BR040,X11BR004,X01BR043,X05BR003,X05BR029,X05BR043,X05BR026,X11BR056,X11BR038,X11BR036,X18BR009,X18BR006,X22BR006,X11BR072,X11BR027,X01BR040,X11BR059,X11BR051,X05BR038,X11BR060,X09BR004,X11BR075,X03BR002,X16BR012,X06BR014,CPT001846,X18BR016,X05BR005,X13BR009,X11BR080,CPT000814,X01BR042,X15BR003,X14BR014,X11BR058,X11BR012,X01BR009,X01BR008,X21BR001,X21BR002,X01BR026,X05BR004,X03BR006,X01BR023,X01BR020,X20BR006,X09BR001,X03BR011,X01BR010
PAK2,S141s T143t ,-0.1401,-0.9384,-0.6277,-0.8388,0.8608,-0.6461,1.3013,-0.2782,-0.3832,,,,,,,,,,-0.2096,-0.3057,-0.0611,0.7001,1.5261,2.3272,3.0765,-0.6353,0.1543,0.8270000000000001,0.4932,0.897,0.1736,-0.5377,-0.2714,-0.3777,1.2419,1.0142,-0.0222,-0.8782,0.5212,-0.0465,1.4471,-1.6906,-0.1574,-1.8977,1.0571,1.9592,-0.2342,1.9737,1.3605,2.2056,0.2134,-0.7855,-0.0313,0.7286,1.0034,-0.3529,0.3156,1.6103,-0.0206,-0.3085,-0.0693,0.3177,1.1373,-0.1999,0.1201,0.2026,1.281,-1.12,0.4704,0.6928,0.1138,0.1979,-1.6369999999999998,-0.5877,0.411,1.024,-0.252,-0.6943,0.1068,0.0074,0.6185,-0.6099,-1.3313,0.9417,-0.1906,-0.4102,1.2542,,,,,,,,,0.6823,2.1521,2.4621,3.7494,0.846,0.8796,-0.4957,-0.7861,0.4973,0.998,2.3963,-0.7206,1.8943,0.6007,0.1442,0.4459,-0.2188,1.2783,0.2963,-0.4959,-0.7482,-1.157,-0.4185,0.6329,-1.2344,-1.2229,1.2387
PAK2,S152s ,1.2069,-0.7667,-0.6844,-0.5483,2.3292,0.2278,1.8995,0.239,0.2272,1.2106,0.947,0.7321,1.2248,-0.0698,0.5056,1.0598,-1.0897,-0.0484,-0.9326,-0.3874,0.4903,1.8489,1.2617,1.335,1.1413,0.5254,-0.5738,1.7832,-1.1501,1.2214,-0.0126,-0.6204,-0.3049,-0.9877,2.2177,1.3516,1.8426,-0.2873,1.6074,1.857,1.5361,-0.3126,-0.1829,0.331,-0.0864,1.425,0.3451,0.5114,1.189,0.8086,0.3676,0.1029,-0.4874,1.3962,0.0206,-0.8858,0.2401,1.2938,-0.5869,-0.9033,-1.2677,0.8957,1.3881,-0.4224,0.5978,-0.1932,2.1723,0.5014,1.6289,1.5526,1.187,-0.6924,-0.1928,0.2752,-0.3611,2.0221,0.3248,-1.7037,0.0591,0.3086,0.9408,0.5771,-0.1438,1.2358,1.3174,0.2398,1.1142,-0.3185,-1.3624,1.0895,2.1295,0.6319,0.5633,0.2752,-1.3494,0.9973,2.2654,3.1348,1.3845,0.5153,1.4672,0.3029,-0.517,0.195,0.1016,1.368,0.8455,1.6375,0.4743,0.2908,-0.0557,-1.0841,0.3903,-0.0413,0.0432,-0.7203,-0.8695,-0.6889,-0.4038,-0.4802,0.3944,0.7289
PAK2,S197s ,0.005,-0.3668,-0.6029,-0.1908,1.842,0.9869,-2.5872,-0.2108,0.1075,1.0062,0.4019,-0.0562,-0.1855,0.5876,-0.6879,1.3569,-0.5408,-0.6003,-0.9373,0.2353,1.9111,1.4853,1.6071,1.8449,0.0284,1.4876,-0.3948,1.0745,-0.752,0.4402,-0.0168,-0.2936,0.5429999999999999,-0.5515,0.9055,0.5339,0.5515,-0.9914,0.6343,-0.7736,0.246,-0.2214,0.3031,-0.2085,-0.0738,1.6127,0.7652,1.0856,1.9272,0.6695,0.2958,0.4475,0.1271,2.2016,0.4542,1.2931,-0.1695,-0.157,-0.5817,0.8241,0.6869,1.3503,0.7861,0.8182,-0.5948,-0.9447,0.7283,-0.7838,0.6076,2.2877,1.8528,0.7265,-1.2641,-0.5482,-1.167,0.9317,3.1607,-0.9015,-0.21,0.4333,0.2451,-0.3755,-0.0793,1.395,1.3913,-0.222,0.8082,0.1216,-1.1137,0.0868,1.4094,0.1766,0.4156,-1.0505,0.5158,0.6596,0.0977,2.9379,0.0633,0.4859,0.1722,-0.3899,0.5728,0.5965,0.3756,3.2644,1.2247,1.0323,0.3655,-2.4317,-2.2399,-1.1447,-0.7528,-2.355,-1.0103,-2.3252,-0.0152,-0.4363,-0.3626,-0.6529,-0.1761,-0.8345
PAK2,S20s ,-0.1102,-0.482,0.7181,0.6433,0.949,0.183,-0.8234,-0.0444,0.0216,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8859999999999999,-0.061,-0.5123,-1.4639,-0.7070000000000001,-1.3723,-0.4493,0.4688,0.1301,2.6273,0.7833,1.6856,0.8997,-1.3361,-0.3226,0.5512,-1.9037,-0.3205,-0.0008,-1.0431,-1.0032,-1.1982,1.7184,-1.8466,1.1884,-1.6672,0.1239,-0.0702,1.2403,0.2164,1.1048,0.2646,2.5392,2.3114,-0.0662,0.0297,-0.0307,-0.4921,-0.9546,-0.1276,-0.6763,1.1934,-1.843,0.8271,-0.6747,-0.3249,-1.3803,0.7237,1.5934,-0.1401,-0.8526,,,,,,,,,-0.3504,-0.8254,3.4833,1.1456,-0.6551,-1.2582,,,,,,,,,-1.369,-3.259,-3.8167,-4.0347,-2.5392,-2.7462,-2.4482,-3.1002,-0.7016,-0.9733,-1.882,-2.8833,-3.7152
PAK2,S2s ,-0.3199,0.2128,-2.0853,-0.5548,0.2672,0.5957,0.4966,0.0646,0.5676,0.772,0.1013,0.7386,1.0276,0.5329,0.3425,0.6447,-0.438,-0.2364,-0.1046,0.3314,0.0172,0.3781,-0.012,-0.8474,0.8153,1.6595,-0.2225,0.9046,-0.7609,0.5297,1.3368,1.9372,-1.1409,-1.1509,1.5497,1.0657,-0.0233,0.3468,0.413,0.599,0.2802,0.939,0.6531,-0.6593,0.563,1.2106,-0.3212,-0.6299,-0.6275,0.8359,-0.9725,-0.1982,-0.0969,0.1118,0.9626,0.4016,-0.7337,0.9097,0.3546,0.4366,-2.1587,0.0102,0.8889,0.514,-0.0066,0.4875,0.2917,0.628,-0.3148,0.3978,0.5024,1.3178,0.2088,-0.0614,0.7842,-0.0197,0.3132,-0.0692,0.1488,0.6507,1.0731,1.0553,-0.6144,0.7912,-0.1537,-0.4538,0.7862,-0.3023,-0.9997,0.0104,-0.2928,-0.2404,-1.1355,-0.1308,-1.0706,0.6959,-0.0713,-0.5806,-0.0453,0.6971,0.511,-0.3012,0.5803,-0.0464,0.2905,0.0273,0.1299,0.1382,1.0464,0.5463,0.0284,1.0255,0.6146,0.0462,0.6445,-0.4088,0.3878,-0.4848,0.2206,-0.294,0.732,0.2052
PAK2,S36s ,0.9277,0.546,1.704,-0.341,0.0593,0.22,-0.0011,-0.0563,-0.0029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.372,-1.1018,0.2398,1.2236,0.0063,-1.2392,-1.3613,,,,,,
PAK2,S507s M514m ,,,,,,,,,,,,,,,,,,,1.1856,-3.1306,-2.9928,0.2586,-4.0706,-0.0735,-0.6872,-0.9546,0.0995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4455,0.3522,2.1171,-1.5776,0.5725,-0.9699,,,,,,,,,,,,,,,,,,,,,
PAK2,S55s ,0.7621,-1.1646,-1.9381,-0.6283,2.0082,1.1095,-2.2219,0.901,-1.6009,1.3221,2.0484,-0.8786,-0.5841,0.5982,-0.5675,2.6417,-1.9804,-3.7646,,,,,,,,,,2.6893,-1.7663,0.1065,-0.1183,-0.6394,1.4067,0.7478,3.0980000000000003,2.5924,1.0945,-0.71,1.5483,-1.207,0.1998,0.0261,0.1118,0.6814,-1.404,2.4301,0.5552,1.0086,2.7818,-0.037,-0.221,-0.0644,0.7577,2.0162,-0.6193,-0.0281,-0.3492,-2.9446,-1.466,-4.238,1.5652,-2.6627,2.0929,0.3796,0.672,-2.0936,2.0,-3.4952,2.5574,3.2232,2.576,-0.3534,-1.5108,-1.261,-2.3838,-0.0461,2.4530000000000003,-1.3519,-1.5711,1.0017,0.3902,-0.3436,0.234,1.921,3.0819,-0.419,1.983,0.6654,-0.8783,2.1832,2.1597,-2.7318,1.0464,-1.355,0.349,-0.358,-1.3362,5.0065,-0.1249,2.039,-2.2254,-2.2533,-0.9969,2.135,-0.7075,4.6221,2.7174,3.0998,-0.168,-2.6267,-4.2654,-3.3564,-1.3399,-2.9366,-1.7551,-3.3449,-2.6795,-2.3843,-0.1382,-1.3382,-1.0718,-4.4245
PAK2,S58s ,1.2542,1.7597,0.977,-1.224,0.4384,0.0487,-1.0693,-0.1197,0.2011,-0.04,-0.1255,0.2672,0.2775,-0.1154,0.6579999999999999,1.5967,-2.4328,0.8538,-1.9728,1.2449,-0.413,1.3691,1.2419,0.1356,-1.1931,-0.3426,-0.9345,-0.0386,-0.447,-0.1639,1.4891,-1.2591,-0.5494,-0.5348,2.4324,0.4882,0.693,-0.8217,0.6431,-0.6037,0.797,-1.5818,0.0013,-0.0785,0.4155,0.8335,1.1246,2.1351,1.541,-0.1168,-1.0829,1.5199,-0.6442,-0.0397,-0.0967,1.332,-0.7481,-0.9552,1.6124,0.2173,1.4266,0.1246,0.4149,-0.845,0.7426,-0.1655,0.4919,-0.509,0.4582,-0.0786,-0.3688,0.2686,-0.633,-0.8894,-0.3671,1.6686,0.0911,-0.3548,-0.0422,-0.7784,-0.0558,0.2208,-1.2475,-0.2504,0.1896,-0.2848,-0.224,-0.0076,1.6782,0.1888,0.7402,0.9719,0.2539,0.8315,1.5685,0.1508,0.7070000000000001,1.3642,2.1712,0.4859,0.9379,-0.8472,0.0119,1.3769,3.9186,0.2182,0.6081,1.1751,0.3813,-1.3448,-0.551,-0.2759,0.3192,-0.1165,-0.8857,-0.84,-1.7356,-1.3624,0.5123,-2.0627,-1.8149,-1.5313
PAK2,S64s ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8102,-0.9196,1.5858,-0.5539999999999999,-0.5411,-0.8302,1.12,1.1204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAK2,S78s ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7448,-0.3777,0.291,-0.013,0.5399,-2.8436,-2.8829,0.4901,,,,,,,,-0.0847,0.2678,0.7398,0.1404,0.0305,0.16
PAK2,T134t ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAK2,T143t ,-0.8531,-0.9242,-0.8777,0.0067,-0.556,-0.2802,0.4238,-0.199,-0.2391,0.076,1.2461,0.2754,-0.2183,-0.8152,-1.0568,1.5001,-0.4412,-0.4532,-1.4268,0.0865,0.2538,1.497,1.0764,0.9407,1.8026,-0.0641,-1.9298,0.9564,-0.4152,0.2929,0.0995,-0.0332,0.4385,0.5206,2.6662,0.8961,,,,,,,,,0.8861,0.2553,-1.1024,1.6673,0.6625,1.5561,0.2169,-0.5011,0.1047,-0.4191,-0.3313,-0.8909,0.5546,-0.1015,-0.3837,-0.2168,0.2168,-0.1518,0.2744,-0.1855,-0.7667,-0.9986,-0.5675,-0.9953,-0.4561,-0.219,-0.0574,0.7772,0.1386,0.9744,-0.1884,0.3014,0.3696,0.1986,-0.4038,-0.9494,-0.551,0.2171,-0.1218,-0.3318,-1.0859,-0.1349,0.3182,0.6721,0.7175,0.9185,0.3199,0.7351,1.0384,-0.0334,1.0135,-0.4837,1.5707,1.8958,1.253,0.3837,-0.3618,0.5827,-0.7296,-0.3183,0.1523,0.9432,-0.4320000000000001,1.1655,-0.5962,,,,,,,,-0.3404,-0.9338,0.0298,-0.9551,0.3219,0.2706
PAK2,T154t ,,,,,,,,,,0.8968,-0.357,0.9905,1.4548,0.5784,0.5574,0.3834,-1.0929,0.0684,,,,,,,,,,,,,,,,,,,0.2718,-0.7577,1.5546,1.446,-0.2296,-0.352,1.1463,-0.2813,,,,,,,,,,0.0122,-1.5719,0.5132,-0.8559,0.7071,-0.2638,0.2443,-0.291,-0.021,0.0035,0.3572,-0.4934,0.047,0.3998,-0.6428,0.7408,-0.5125,0.3511,0.1912,0.1099,-0.7166,-0.252,0.0007,0.2403,-0.8713,0.224,-0.2563,-0.2479,0.3765,0.4094,0.0835,0.7524,-0.3336,0.1905,-0.2606,0.0099,-0.9376,0.4217,-0.6877,-0.0236,0.2711,-0.8544,0.0993,-0.6285,1.2632,0.0971,-0.0284,0.3865,,,,,,,,,,,,,,,,,,,,,
PAK2,T169t ,-1.1575,-0.0498,-1.3015,0.4637,0.6513,0.4147,-0.0462,0.4353,1.7163,0.4207,-0.3779,-0.3861,1.0376,0.624,-0.162,-1.3059,-0.6262,-0.5684,0.2421,1.0264,0.8732,0.4179,0.2668,-0.6859999999999999,1.5778,2.2327,0.1075,,,,,,,,,,-0.6606,-1.5317,0.2986,0.5371,-0.3562,1.2586,-3.9735,-0.87,-0.0817,2.6503,1.3347,-0.0629,-0.5664,0.045,-2.0744,2.1957,-1.4732,0.3863,0.7564,0.4253,-2.2376,1.3568,-0.0154,-0.2273,,-0.9392,0.7334,0.5957,0.8801,1.2836,1.1228,-0.7006,-0.1372,0.8316,0.5433,1.9425,0.3795,-0.2646,1.6754,0.9413,0.0182,-0.2798,-0.9187,-1.0083,-1.8464,0.2114,-1.4255,1.267,0.0419,-2.0013,0.7917,0.2347,0.4318,-0.9249,0.3934,-0.2809,-2.1256,-0.3663,-1.6616,0.964,-1.3269,0.0276,1.872,0.1257,-0.8265,0.0555,-2.3539,1.0459,1.0204,-0.8363,-0.6506,-1.1267,0.4989,1.6332,0.584,0.3869,0.1096,1.7922,1.0937,1.0863,0.8674,0.0676,-0.5076,-1.8644,0.9679,1.1015
PAK2,T195t S197s ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAK2,T394t ,-0.036,0.7439,0.3972,0.1471,0.8059,2.1645,1.2984,1.6264,0.8636,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3683,0.5641,0.6356,0.4370000000000001,0.2306,0.7022,0.2394,-0.6514,-0.2778,0.2841,-0.2917,-0.6445,-0.28,0.0724,-0.5468,-0.322,0.0503,,,,,,,,,,,,,,,,,,0.7641,0.1605,-0.3046,-0.0266,-0.0951,0.6082,0.3762,0.491,-0.4862,1.6949,0.7722,0.3333,-0.4868,0.4953,0.4982,0.1596,1.1266,,,,,,,,,,,,,,,0.7056,0.1324,1.0171,1.0145,0.7769,-0.1451,1.7835,0.2866,-0.5678,-0.5002,-0.1288,-1.0537,-0.3343,-0.1771,-0.3957,-0.014,0.0153,0.326,-0.4775,1.1807,-0.1097
PAK2,T402t ,,,,,,,,,,0.8217,1.0242,-0.2415,0.4418,0.0942,0.4537,0.7717,-0.7196,0.452,,,,,,,,,,,,,,,,,,,0.2619,-0.128,0.4369,-0.0741,-0.5616,-0.1888,-0.3374,-0.236,,,,,,,,,,,,,,,,,,-0.2558,-0.9409,-0.0558,-0.5875,-0.4997,1.962,0.5484,0.5148,1.5999,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1818,0.4451,-0.4272,0.2902,-0.3885,-1.0329,-0.0555,-0.4642,-0.104,0.2752,2.2562,0.866,1.2811,-0.0679,0.2183,0.1697,-0.0561,1.8161,0.818,1.0836,0.1387,0.3242,0.1314,1.3001,0.2403,1.23,0.9893
PAK3,S175s ,0.2574,-1.4594,-1.8246,-0.8127,0.7511,0.7748,0.8298,-1.1602,-0.4154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAK3,S207s ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1097,-0.3636,-1.0166,-2.8551,-0.9158,-0.7466,0.7158,,,,,,
PAK3,S241s ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1765,1.5629,1.1197,0.5554,1.8437,1.8045,0.1696,-0.3823,0.7113,0.1097,-0.8521,-1.0228,-0.6978,-2.5515,-1.1307,-0.2619,0.3945,0.8437,-1.2532,0.0034,-0.3432,1.5501,1.1488,-0.8633,1.7581,2.589,,,,,,,,,0.0649,0.7398,-0.9159,0.5077,0.1386,0.3517,0.4222,1.4858,0.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAK4,N230n S247s ,0.6517,0.4511,-0.6011,0.072,0.9872,0.4516,0.0571,0.6929,1.0967,,,,,,,,,,-0.1518,-0.0043,0.8629,0.9226,0.8461,0.2108,-0.5767,-0.2566,0.1235,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.116,0.3263,0.3796,-0.3115,-0.7406,1.2406,0.6183,-1.6495,-0.0611,2.2233,0.4116,-0.0193,0.4228,0.7463,0.2447,0.7065,0.4924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.191,0.4146,0.6833,-0.6137,0.3188,0.0992
PAK4,S104s ,0.7936,-0.6920000000000001,-1.7218,-0.6103,-0.5377,-0.8563,-1.3997,0.0409,-0.3081,-1.0077,-0.6207,1.0701,-1.3971,-0.8653,-4.945,-1.143,0.0999,-1.9634,-0.3075,-2.1696,-0.24,0.7566,-1.3001,0.2163,-0.0709,-0.3548,-0.2559,-0.2975,-2.3608,-0.5592,-0.6174,0.7316,-2.6967,-2.0583,-0.7645,-0.7832,-3.5181,2.1107,0.3942,-0.2796,-0.6967,0.6288,0.8685,-1.6772,0.5002,-1.9539,-0.1719,-1.2959,0.4254,-0.6615,0.0628,0.2284,1.601,-0.3629,1.0674,-0.9992,1.8931,-0.5261,-4.0718,-2.9837,-2.6048,1.0784,1.1059,0.1155,-1.42,-0.7476,-0.2791,0.1669999999999999,-0.8456,-0.1828,1.1053,1.2564,-0.8367,-0.3147,-0.7541,0.2391,2.3883,3.0038,1.1382,1.4329,2.0975,1.0272,0.8027,0.8344,0.7894,0.8671,1.1993,-1.6267,0.2556,-1.2252,-0.01,-0.631,-0.9658,-0.6059,-1.8684,-1.1333,0.2556,-0.9448,-2.5682,-0.6569,-0.7745,0.3558,-0.0069,-3.6945,-1.6617,-0.9856,-1.2501,-0.1122,0.8253,0.2032,-0.0144,0.0494,0.2536,0.7228,1.1271,1.4043,0.6494,1.4504,0.7703,-0.6569,-0.3379,0.637
PAK4,S142s ,,,,,,,,,,0.1246,-1.5292,2.242,0.4218,-0.9078,1.0101,-0.3968,-1.3001,-1.1704,-0.4844,1.7095,-0.4603,1.731,-0.1361,-0.1652,0.1315,-0.5125,-1.0614,,,,,,,,,,-0.5915,1.1461,0.7223,-1.0792,0.1827,1.0872,1.0598,0.8684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAK4,S148s ,-0.4351,1.6749,-0.7997,-1.0739,-1.6136,-2.3259,-1.7125,0.0389,0.7118,0.7355,-1.9746,2.923,1.0491,0.1154,0.6702,-0.5865,-1.6228,-0.8414,-3.8021,2.5099,-0.3849,1.8107,1.3372,-1.1684,-0.5411,-0.8809,-2.4174,0.1005,1.6236,0.0561,-0.9939,-0.6326,-0.9832,0.2385,-1.1319,0.0059,-1.5316,1.3322,0.5337,0.3566,-0.9328,-0.6663,0.843,-0.6436,1.4822,-1.3777,-0.8201,-0.0941,-2.8080000000000003,-0.821,-1.4315,-0.6918,-0.6298,0.2083,-1.2289,0.207,0.8348,-0.5246,-0.9709,-1.5026,-0.591,0.4797,-0.2285,-0.6417,-0.1858,0.3981,-0.8639,-0.3644,0.2968,-1.7161,-1.4762,-0.7819,0.9747,-1.7994,-0.5219,-1.7716,-0.8818,0.1493,-0.5094,-0.7891,-0.8156,0.6596,-2.1926,-0.6172,1.3196,-0.8651,-1.5127,0.0799,-3.2912,-0.672,0.5122,0.0389,0.4176,1.1218,0.6066,-0.7971,-0.283,0.5208,-2.0554,0.5118,-1.6993,-1.3916,-1.7422,-5.377000000000002,0.5055,0.4352,0.3485,0.1382,0.9025,0.9046,-2.132,-0.1409,-0.8440000000000001,0.8962,-0.522,0.4535,0.5999,1.7285,2.0162,-0.9294,-0.2393,0.4749
PAK4,S167s ,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5531,-2.0980000000000003,1.4172,-3.5784,0.931,-2.3674,-2.6546,-4.3933,-2.1993,,3.431,-2.2762,-1.232,-0.1013,1.1621,0.5228,0.5003,,,,,,,,,,,,,,,,,,-1.7237,-2.2941,-2.4202,0.0658,1.6455,-1.8733,-5.4203,-2.9407,-1.489,,,,,,,,,,,,,,,,,,0.843,,-0.1952,-2.3757,-3.3046,-2.7983,2.2729,-0.8771,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAK4,S181s ,-0.8972,-0.7687,-1.7076,-0.483,0.2821,-2.3823,0.2958,-0.1613,0.4756,-0.0168,-2.2736,-1.0037,1.3991,-0.1245,-0.2078,-0.1356,-0.5013,-0.1833,-1.2298,-0.2202,-0.6835,0.4661,-0.5607,-0.6182,-1.5584,-1.4132,0.2077,0.6344,0.7676,-1.1428,0.0488,-1.8978,0.9748,-0.1093,0.4784,0.166,0.3749,-0.2635,0.0132,1.118,0.246,-0.3194,1.5105,0.0199,-3.3208,-0.3879,-1.5816,-0.0024,0.3195,1.2325,-1.4455,3.0071,2.0939,0.0694,-0.909,1.3879,-0.006,-0.4826,-1.6918,1.9657,-0.2848,0.2524,-0.458,0.2771,-1.0273,1.3622,-0.944,-4.2273,0.0667,-0.7838,-0.2904,0.286,-1.0719,-0.5877,-0.8316,1.3751,-0.1625,2.0684,0.3426,-0.7392,-0.2394,0.5527,-1.232,-0.2522,1.4652,-1.651,0.4815,-0.6886,-1.0174,-1.2179,-1.075,-0.718,-0.87,1.0385,-2.1019,-0.8153,-0.9684,1.9933,-0.0308,0.8322,-0.1822,-1.0264,-0.3589,-1.2907,-0.0236,1.602,-0.7343,-0.0047,1.4114,0.1593,-1.6145,-0.1098,0.0202,0.1014,0.2373,0.2551,0.2405,1.2437,0.7902,-2.056,-0.8606,-0.6381
PAK4,S258s ,1.9624,0.7056,0.5745,0.7509999999999999,0.5316,0.1383,-2.3805,0.1855,-0.9767,0.0749,-0.1994,0.0868,-0.034,-0.3355,-2.046,0.5534,0.103,-0.5002,,,,,,,,,,,,,,,,,,,,,,,,,,,0.312,0.1003,-0.2851,-0.8317,-0.459,-0.5794,0.4289,-0.5479,-0.449,-0.843,-0.134,-0.901,-0.2127,-4.1973,0.0385,0.9413,0.1765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3289,-0.9758,0.7282,0.5387,0.4218,0.292,,,,,,,,,-2.6388,-3.2622,-1.5254,-1.1868,-1.1644,-1.3247,-0.9301,,,,,,
PAK4,S267s ,0.1091,0.0613,-1.1774,-1.0477,-1.5903,-0.8894,-1.1217,1.8147,-0.3418,1.0802,-2.0694,1.4261,-0.6098,0.5405,-1.6924,1.5484,-0.6705,-0.7898,-0.8111,-0.153,0.1074,2.576,0.5025,2.2282,-1.4835,0.4046,0.2224,1.1732,0.0556,0.1829,0.366,-1.5276,0.754,0.6548,0.4284,1.4011,-0.7056,1.2012,0.8216,-1.2096,-3.1469,-2.847,0.3612,-1.5453,2.0233,-3.026,-0.2178,-1.1968,-0.2651,-1.2586,-0.1194,-1.4312,-0.4442,-0.4816,-0.502,0.0582,1.1098,-1.3363,-0.0154,0.7385,0.8759,0.6654,-0.7628,-0.2447,-2.1783,-0.7861,-0.2892,-0.8742,0.0263,0.0129,0.297,-0.332,-0.7535,-0.3435,-1.1293,-0.898,-0.3597,0.5829,,,,,,,,,,-0.0614,-2.3246,0.4817,-2.8658,1.3322,-0.5526,0.8396,0.7466,-2.9171,-1.286,1.0401,-1.8648,0.0392,-1.0486,-0.5418,-1.5276,-0.2208,-0.2728,1.4958,-1.7009999999999998,1.6262,1.7097,-1.4506,-1.0954,-0.2292,-0.4082,-3.8832,-0.4756,0.1928,-1.903,0.0319,0.642,-0.7676,0.527,-2.8719
PAK4,S267s S291s ,-0.5897,0.237,0.7359,-0.5107,-0.0738,-0.9381,-1.6602,-0.1831,0.4081,,,,,,,,,,-0.4467,0.5894,0.3159,1.2894,-0.1164,-0.4788,-0.5486,-1.0427,-0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9783,0.5623,-0.3964,-0.4254,-0.8633,0.2918,-1.4636,1.1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2262,-0.0604,-0.6238,-0.1147,-0.6612,-0.5075,-0.04,-0.5997,0.2768,0.3962,-0.9294,0.3158,-0.5789
PAK4,S291s ,,,,,,,,,,1.3774,,3.3959,2.7565,2.9893,2.3422,-1.3363,1.492,1.7195,0.695,-2.0604,-2.8864,-0.8885,-3.4895,-4.0441,-1.4554,-3.5647,-1.5477,,,,,,,,,,-2.4946,1.0925,-1.723,-1.1412,-1.4342,1.0328,-2.0619,-1.0432,,,,,,,,,,-0.2887,-0.4504,0.3678,2.4771,-0.3176,-0.4653,0.5462,0.1223,-2.2482,,1.0311,-0.3668,1.2467,-1.599,0.3225,1.092,-2.3756,-1.7953,-1.9926,0.7237,-3.1248,0.9271,-2.421,-1.5796,0.1796,-4.5016,-5.2919,-2.286,-1.2475,0.6157,-2.8856,-2.1616,-0.2743,-2.5229,,,,,,,,,,,,,,,-0.3114,0.1324,-1.5386,-2.0302,-2.7788,-2.1553,-0.9422,2.0519,0.8003,-0.7843,-0.0907,-0.5268,-1.9868,0.1359,1.624,1.2739,1.1761,-0.2008,0.8258,1.1483,0.4016
